#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2EC34
#Date Time: 2026-03-31 19:17:03.346
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 1 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: DC
#Offset: 800 mV
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V)
-0.0003825,1.797509730892194
-0.00038125,1.801151841697107
-0.00038,1.801151841697107
-0.00037875,1.815720284916757
-0.0003775,1.812078174111845
-0.00037625,1.81936239572167
-0.000375,1.823004506526582
-0.00037375,1.83393083894132
-0.0003725,1.83393083894132
-0.00037125,1.841215060551145
-0.00037,1.841215060551145
-0.00036875,1.84849928216097
-0.0003675,1.84849928216097
-0.00036625,1.863067725380621
-0.000365,1.859425614575708
-0.00036375,1.863067725380621
-0.0003625,1.866709836185533
-0.00036125,1.866709836185533
-0.00036,1.873994057795359
-0.00035875,1.877636168600271
-0.0003575,1.881278279405184
-0.00035625,1.884920390210096
-0.000355,1.888562501015009
-0.00035375,1.892204611819922
-0.0003525,1.910415165844485
-0.00035125,1.899488833429747
-0.00035,1.903130944234659
-0.00034875,1.91769938745431
-0.0003475,1.91769938745431
-0.00034625,1.914057276649397
-0.000345,1.910415165844485
-0.00034375,1.914057276649397
-0.0003425,1.924983609064135
-0.00034125,1.93226783067396
-0.00034,1.93226783067396
-0.00033875,1.93226783067396
-0.0003375,1.935909941478873
-0.00033625,1.94683627389361
-0.000335,1.950478384698523
-0.00033375,1.950478384698523
-0.0003325,1.94683627389361
-0.00033125,1.950478384698523
-0.00033,1.94683627389361
-0.00032875,1.957762606308348
-0.0003275,1.954120495503436
-0.00032625,1.965046827918173
-0.000325,1.961404717113261
-0.00032375,1.965046827918173
-0.0003225,1.972331049527999
-0.00032125,1.975973160332911
-0.00032,1.972331049527999
-0.00031875,1.975973160332911
-0.0003175,1.972331049527999
-0.00031625,1.979615271137824
-0.000315,1.979615271137824
-0.00031375,1.979615271137824
-0.0003125,1.986899492747649
-0.00031125,1.983257381942736
-0.00031,1.983257381942736
-0.00030875,1.994183714357474
-0.0003075,1.990541603552562
-0.00030625,1.986899492747649
-0.000305,1.994183714357474
-0.00030375,1.986899492747649
-0.0003025,1.994183714357474
-0.00030125,1.994183714357474
-0.0003,1.994183714357474
-0.00029875,1.997825825162387
-0.0002975,2.001467935967299
-0.00029625,1.997825825162387
-0.000295,2.001467935967299
-0.00029375,1.997825825162387
-0.0002925,2.008752157577125
-0.00029125,1.994183714357474
-0.00029,2.001467935967299
-0.00028875,2.012394268382037
-0.0002875,2.005110046772212
-0.00028625,2.005110046772212
-0.000285,2.001467935967299
-0.00028375,1.997825825162387
-0.0002825,2.005110046772212
-0.00028125,2.008752157577125
-0.00028,2.012394268382037
-0.00027875,2.012394268382037
-0.0002775,2.012394268382037
-0.00027625,2.008752157577125
-0.000275,2.001467935967299
-0.00027375,2.005110046772212
-0.0002725,2.005110046772212
-0.00027125,2.008752157577125
-0.00027,2.001467935967299
-0.00026875,2.005110046772212
-0.0002675,2.005110046772212
-0.00026625,2.008752157577125
-0.000265,2.005110046772212
-0.00026375,2.008752157577125
-0.0002625,2.008752157577125
-0.00026125,2.005110046772212
-0.00026,2.001467935967299
-0.00025875,1.997825825162387
-0.0002575,1.994183714357474
-0.00025625,2.005110046772212
-0.000255,1.994183714357474
-0.00025375,1.994183714357474
-0.0002525,1.986899492747649
-0.00025125,1.986899492747649
-0.00025,1.990541603552562
-0.00024875,1.983257381942736
-0.0002475,1.997825825162387
-0.00024625,1.990541603552562
-0.000245,1.986899492747649
-0.00024375,1.986899492747649
-0.0002425,1.983257381942736
-0.00024125,1.986899492747649
-0.00024,1.986899492747649
-0.00023875,1.972331049527999
-0.0002375,1.975973160332911
-0.00023625,1.965046827918173
-0.000235,1.965046827918173
-0.00023375,1.972331049527999
-0.0002325,1.965046827918173
-0.00023125,1.972331049527999
-0.00023,1.961404717113261
-0.00022875,1.961404717113261
-0.0002275,1.961404717113261
-0.00022625,1.957762606308348
-0.000225,1.957762606308348
-0.00022375,1.94683627389361
-0.0002225,1.94683627389361
-0.00022125,1.943194163088698
-0.00022,1.939552052283785
-0.00021875,1.94683627389361
-0.0002175,1.935909941478873
-0.00021625,1.924983609064135
-0.000215,1.928625719869048
-0.00021375,1.924983609064135
-0.0002125,1.93226783067396
-0.00021125,1.924983609064135
-0.00021,1.921341498259222
-0.00020875,1.906773055039572
-0.0002075,1.910415165844485
-0.00020625,1.903130944234659
-0.000205,1.899488833429747
-0.00020375,1.906773055039572
-0.0002025,1.895846722624834
-0.00020125,1.888562501015009
-0.0002,1.881278279405184
-0.00019875,1.892204611819922
-0.0001975,1.888562501015009
-0.00019625,1.881278279405184
-0.000195,1.873994057795359
-0.00019375,1.870351946990446
-0.0001925,1.863067725380621
-0.00019125,1.863067725380621
-0.00019,1.859425614575708
-0.00018875,1.84849928216097
-0.0001875,1.855783503770796
-0.00018625,1.84849928216097
-0.000185,1.841215060551145
-0.00018375,1.844857171356058
-0.0001825,1.830288728136408
-0.00018125,1.826646617331495
-0.00018,1.83393083894132
-0.00017875,1.815720284916757
-0.0001775,1.808436063306932
-0.00017625,1.815720284916757
-0.000175,1.804793952502019
-0.00017375,1.797509730892194
-0.0001725,1.793867620087282
-0.00017125,1.790225509282369
-0.00017,1.786583398477456
-0.00016875,1.782941287672544
-0.0001675,1.772014955257806
-0.00016625,1.779299176867631
-0.000165,1.768372844452893
-0.00016375,1.753804401233243
-0.0001625,1.753804401233243
-0.00016125,1.746520179623418
-0.00016,1.746520179623418
-0.00015875,1.742878068818505
-0.0001575,1.731951736403768
-0.00015625,1.731951736403768
-0.000155,1.731951736403768
-0.00015375,1.72102540398903
-0.0001525,1.710099071574292
-0.00015125,1.702814849964467
-0.00015,1.695530628354642
-0.00014875,1.699172739159554
-0.0001475,1.688246406744816
-0.00014625,1.673677963525166
-0.000145,1.670035852720253
-0.00014375,1.666393741915341
-0.0001425,1.662751631110428
-0.00014125,1.659109520305516
-0.00014,1.640898966280953
-0.00013875,1.644541077085865
-0.0001375,1.644541077085865
-0.00013625,1.626330523061303
-0.000135,1.629972633866215
-0.00013375,1.619046301451477
-0.0001325,1.62268841225639
-0.00013125,1.615404190646565
-0.00013,1.604477858231827
-0.00012875,1.593551525817089
-0.0001275,1.578983082597439
-0.00012625,1.578983082597439
-0.000125,1.582625193402351
-0.00012375,1.557130417767963
-0.0001225,1.571698860987614
